コード,sector,industry
1914,Industrials,Engineering & Construction
3302,Industrials,Farm & Heavy Construction Machinery
7477,Consumer Cyclical,Specialty Retail
7713,Technology,Electronic Components
8085,Industrials,Industrial Distribution
244A,Technology,Information Technology Services
6309,Industrials,Specialty Industrial Machinery
4978,Healthcare,Biotechnology
2185,Technology,Information Technology Services
5943,Industrials,Building Products & Equipment
4540,Healthcare,Drug Manufacturers - Specialty & Generic
3698,Communication Services,Electronic Gaming & Multimedia
5142,Basic Materials,Chemicals
3421,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
192A,Financial Services,Capital Markets
4434,Technology,Software - Infrastructure
7433,Technology,Electronic Components
6322,Industrials,Specialty Industrial Machinery
5576,Technology,Information Technology Services
4471,Basic Materials,Specialty Chemicals
6125,Industrials,Specialty Industrial Machinery
4767,Communication Services,Advertising Agencies
7807,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
6912,Industrials,Electrical Equipment & Parts
5237,Industrials,Building Products & Equipment
9413,Communication Services,Broadcasting
9344,Industrials,Staffing & Employment Services
4394,Technology,Information Technology Services
6592,Consumer Cyclical,Auto Parts
8029,Consumer Cyclical,Apparel Manufacturing
7769,Consumer Cyclical,Luxury Goods
6493,Consumer Cyclical,Auto Parts
8708,Financial Services,Capital Markets
7860,Communication Services,Entertainment
7079,Healthcare,Health Information Services
2792,Consumer Cyclical,Apparel Retail
4376,Industrials,Specialty Business Services
4524,Healthcare,Drug Manufacturers - Specialty & Generic
4752,Technology,Information Technology Services
3940,Technology,Information Technology Services
1976,Industrials,Engineering & Construction
4112,Basic Materials,Specialty Chemicals
6742,Technology,Scientific & Technical Instruments
4372,Technology,Software - Application
3768,Industrials,Consulting Services
6239,Energy,Oil & Gas Refining & Marketing
483A,Technology,Information Technology Services
4240,Technology,Electronic Components
9651,Technology,Software - Application
9258,Communication Services,Advertising Agencies
1301,Consumer Defensive,Packaged Foods
4521,Healthcare,Drug Manufacturers - Specialty & Generic
6336,Industrials,Specialty Industrial Machinery
2612,Consumer Defensive,Packaged Foods
8918,Real Estate,Real Estate - Diversified
8081,Industrials,Conglomerates
3680,Technology,Software - Infrastructure
9345,Consumer Defensive,Education & Training Services
6082,Consumer Cyclical,Internet Retail
7545,Consumer Cyclical,Specialty Retail
4072,Technology,Information Technology Services
6989,Technology,Electronic Components
550A,Technology,Information Technology Services
7844,Communication Services,Electronic Gaming & Multimedia
6874,Technology,Scientific & Technical Instruments
6137,Industrials,Specialty Industrial Machinery
4998,Basic Materials,Agricultural Inputs
3461,Industrials,Specialty Business Services
7254,Consumer Cyclical,Auto Parts
8078,Industrials,Conglomerates
1450,Industrials,Engineering & Construction
3020,Technology,Electronics & Computer Distribution
7050,Communication Services,Advertising Agencies
3841,Technology,Software - Application
9376,Consumer Cyclical,Travel Services
1928,Consumer Cyclical,Residential Construction
4172,Healthcare,Health Information Services
6050,Technology,Information Technology Services
7240,Consumer Cyclical,Auto Parts
1966,Industrials,Engineering & Construction
5990,Industrials,Tools & Accessories
8613,Financial Services,Capital Markets
2461,Communication Services,Advertising Agencies
6635,Technology,Electronic Components
5356,Basic Materials,Building Materials
7114,Consumer Defensive,Food Distribution
4093,Basic Materials,Chemicals
2415,Consumer Defensive,Education & Training Services
7595,Technology,Software - Application
1377,Consumer Defensive,Farm Products
423A,Industrials,Business Equipment & Supplies
8887,Real Estate,Real Estate - Development
7239,Consumer Cyclical,Auto Parts
1787,Industrials,Metal Fabrication
5535,Real Estate,Real Estate Services
4017,Consumer Cyclical,Internet Retail
6630,Consumer Defensive,Household & Personal Products
4378,Technology,Software - Infrastructure
5138,Communication Services,Internet Content & Information
3965,Technology,Software - Application
2750,Consumer Defensive,Confectioners
5950,Industrials,Tools & Accessories
5702,Basic Materials,Aluminum
7276,Consumer Cyclical,Auto Parts
5018,Basic Materials,Specialty Chemicals
9987,Healthcare,Medical Distribution
5659,Industrials,Tools & Accessories
8927,Real Estate,Real Estate - Diversified
2493,Technology,Information Technology Services
5423,Basic Materials,Steel
2186,Technology,Software - Application
2475,Industrials,Staffing & Employment Services
5273,Industrials,Building Products & Equipment
7222,Consumer Cyclical,Auto Manufacturers
6307,Industrials,Specialty Business Services
6824,Technology,Scientific & Technical Instruments
2722,Consumer Defensive,Discount Stores
2733,Consumer Cyclical,Department Stores
3490,Real Estate,Real Estate Services
4362,Basic Materials,Specialty Chemicals
6888,Technology,Information Technology Services
2122,Communication Services,Advertising Agencies
9709,Technology,Information Technology Services
3059,Consumer Cyclical,Footwear & Accessories
6995,Consumer Cyclical,Auto Parts
4027,Basic Materials,Specialty Chemicals
6459,Industrials,Specialty Industrial Machinery
3598,Consumer Cyclical,Apparel Manufacturing
9856,Consumer Cyclical,Auto & Truck Dealerships
3245,Real Estate,Real Estate Services
6351,Industrials,Specialty Industrial Machinery
1967,Industrials,Engineering & Construction
4178,Technology,Software - Infrastructure
4249,Basic Materials,Specialty Chemicals
3183,Healthcare,Medical Distribution
3950,Consumer Cyclical,Packaging & Containers
4951,Consumer Defensive,Household & Personal Products
3624,Communication Services,Internet Content & Information
9715,Technology,Information Technology Services
6850,Technology,Scientific & Technical Instruments
2784,Healthcare,Medical Distribution
4977,Basic Materials,Specialty Chemicals
442A,Consumer Cyclical,Apparel Manufacturing
7863,Industrials,Specialty Business Services
6662,Technology,Software - Infrastructure
4881,Healthcare,Biotechnology
6677,Technology,Electronic Components
2916,Consumer Defensive,Confectioners
3201,Consumer Cyclical,Textile Manufacturing
9273,Healthcare,Drug Manufacturers - Specialty & Generic
1382,Consumer Defensive,Farm Products
547A,Financial Services,Credit Services
5602,Basic Materials,Steel
1992,Technology,Communication Equipment
1941,Industrials,Engineering & Construction
2815,Consumer Defensive,Packaged Foods
6663,Technology,Electronic Components
5590,Technology,Software - Infrastructure
7927,Technology,Electronic Components
5445,Basic Materials,Steel
8624,Financial Services,Asset Management
7172,Industrials,Rental & Leasing Services
8508,Financial Services,Financial Conglomerates
6198,Industrials,Staffing & Employment Services
8065,Basic Materials,Steel
4882,Healthcare,Drug Manufacturers - General
7270,Consumer Cyclical,Auto Manufacturers
6466,Industrials,Specialty Industrial Machinery
2477,Communication Services,Internet Content & Information
8934,Real Estate,Real Estate Services
6340,Industrials,Specialty Industrial Machinery
8928,Real Estate,Real Estate Services
3678,Communication Services,Publishing
9629,Technology,Software - Application
5660,Basic Materials,Steel
2152,Consumer Defensive,Education & Training Services
7949,Industrials,Building Products & Equipment
7673,Technology,Communication Equipment
7803,Communication Services,Electronic Gaming & Multimedia
3172,Consumer Cyclical,Internet Retail
6333,Industrials,Specialty Industrial Machinery
3963,Industrials,Specialty Business Services
5035,Technology,Information Technology Services
9127,Industrials,Marine Shipping
6391,Industrials,Specialty Industrial Machinery
9212,Basic Materials,Specialty Chemicals
2915,Consumer Defensive,Packaged Foods
7231,Consumer Cyclical,Auto Parts
9849,Industrials,Conglomerates
4667,Technology,Software - Infrastructure
6070,Industrials,Staffing & Employment Services
6932,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
8051,Industrials,Specialty Industrial Machinery
5463,Basic Materials,Steel
5563,Basic Materials,Steel
6167,Industrials,Tools & Accessories
5947,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
4526,Consumer Defensive,Packaged Foods
9225,Industrials,Specialty Business Services
5941,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
5868,Technology,Information Technology Services
9768,Industrials,Engineering & Construction
1938,Industrials,Engineering & Construction
9930,Industrials,Specialty Industrial Machinery
5185,Consumer Cyclical,Auto Parts
7480,Industrials,Electrical Equipment & Parts
1720,Industrials,Engineering & Construction
9265,Healthcare,Medical Distribution
1435,Real Estate,Real Estate Services
2332,Technology,Information Technology Services
5192,Industrials,Specialty Industrial Machinery
5973,Basic Materials,Steel
6191,Consumer Cyclical,Travel Services
2737,Technology,Semiconductors
4491,Technology,Software - Application
6455,Industrials,Farm & Heavy Construction Machinery
3333,Consumer Cyclical,Specialty Retail
1930,Industrials,Engineering & Construction
4097,Basic Materials,Specialty Chemicals
8704,Financial Services,Capital Markets
5262,Industrials,Building Products & Equipment
2335,Technology,Information Technology Services
1662,Energy,Oil & Gas E&P
3991,Communication Services,Internet Content & Information
6272,Industrials,Specialty Industrial Machinery
6379,Industrials,Engineering & Construction
4914,Basic Materials,Specialty Chemicals
4220,Basic Materials,Chemicals
6803,Technology,Computer Hardware
4310,Financial Services,Asset Management
6203,Industrials,Specialty Industrial Machinery
7976,Industrials,Business Equipment & Supplies
1852,Industrials,Engineering & Construction
2341,Communication Services,Publishing
7864,Consumer Cyclical,Packaging & Containers
4012,Technology,Information Technology Services
4465,Consumer Defensive,Household & Personal Products
7702,Healthcare,Medical Instruments & Supplies
2305,Consumer Cyclical,Personal Services
5268,Industrials,Building Products & Equipment
6770,Technology,Electronic Components
6395,Industrials,Farm & Heavy Construction Machinery
6675,Technology,Communication Equipment
206A,Healthcare,Biotechnology
2975,Real Estate,Real Estate Services
2342,Healthcare,Biotechnology
6788,Industrials,Pollution & Treatment Controls
4053,Technology,Information Technology Services
4516,Healthcare,Drug Manufacturers - Specialty & Generic
3934,Communication Services,Telecom Services
4750,Industrials,Engineering & Construction
6143,Industrials,Specialty Industrial Machinery
2114,Consumer Defensive,Confectioners
4577,Healthcare,Drug Manufacturers - Specialty & Generic
3773,Technology,Communication Equipment
4956,Basic Materials,Specialty Chemicals
4284,Technology,Software - Application
4792,Industrials,Consulting Services
6381,Industrials,Specialty Industrial Machinery
4659,Industrials,Specialty Business Services
7921,Industrials,Specialty Business Services
6339,Industrials,Specialty Industrial Machinery
9438,Healthcare,Health Information Services
3465,Real Estate,Real Estate Services
6643,Industrials,Electrical Equipment & Parts
8898,Real Estate,Real Estate Services
9621,Industrials,Engineering & Construction
7255,Consumer Cyclical,Auto Parts
4840,Industrials,Conglomerates
3288,Real Estate,Real Estate - Diversified
3284,Consumer Cyclical,Residential Construction
7717,Industrials,Specialty Industrial Machinery
7951,Consumer Cyclical,Leisure
1518,Energy,Thermal Coal
4171,Industrials,Specialty Business Services
1814,Real Estate,Real Estate - Development
1844,Industrials,Engineering & Construction
4238,Technology,Semiconductor Equipment & Materials
4931,Consumer Cyclical,Specialty Retail
9233,Industrials,Engineering & Construction
7514,Consumer Cyclical,Specialty Retail
4673,Industrials,Engineering & Construction
137A,Technology,Software - Infrastructure
3918,Technology,Information Technology Services
4167,Technology,Software - Application
4922,Consumer Defensive,Household & Personal Products
2325,Industrials,Waste Management
6772,Technology,Electronic Components
3834,Communication Services,Telecom Services
3445,Technology,Semiconductors
2876,Consumer Defensive,Packaged Foods
6853,Technology,Scientific & Technical Instruments
2292,Consumer Defensive,Farm Products
9782,Communication Services,Advertising Agencies
2169,Technology,Software - Application
4595,Healthcare,Drug Manufacturers - Specialty & Generic
