コード,終値,日付
6923.T,3506.0,2026-07-23
3267.T,629.0,2026-07-23
3799.T,1071.0,2026-07-23
2479.T,239.0,2026-07-23
9409.T,3095.0,2026-07-23
4076.T,1838.0,2026-07-23
7849.T,3395.0,2026-07-23
7425.T,1228.0,2026-07-23
3760.T,718.0,2026-07-23
6741.T,1581.0,2026-07-23
3306.T,779.0,2026-07-23
6247.T,1668.0,2026-07-23
4893.T,141.0,2026-07-23
5184.T,4100.0,2026-07-23
9799.T,985.0,2026-07-23
8077.T,208.0,2026-07-23
8011.T,4550.0,2026-07-23
9330.T,868.0,2026-07-23
6844.T,3565.0,2026-07-23
2883.T,1996.0,2026-07-23
6069.T,655.0,2026-07-23
2806.T,1889.0,2026-07-23
7501.T,1501.0,2026-07-23
6248.T,1768.0,2026-07-23
3772.T,1054.0,2026-07-23
6033.T,1720.0,2026-07-23
8707.T,4305.0,2026-07-23
2411.T,460.0,2026-07-23
6769.T,1067.0,2026-07-23
7938.T,2224.0,2026-07-23
4616.T,1965.0,2026-07-22
4880.T,324.0,2026-07-23
7447.T,1749.0,2026-07-23
6809.T,1619.0,2026-07-23
1964.T,4115.0,2026-07-23
7962.T,790.0,2026-07-23
7804.T,2208.0,2026-07-23
9986.T,2488.0,2026-07-23
5302.T,4750.0,2026-07-23
9753.T,1285.0,2026-07-23
8118.T,1235.0,2026-07-23
7483.T,2988.0,2026-07-23
6864.T,1533.0,2026-07-23
130A.T,419.0,2026-07-23
3611.T,2543.0,2026-07-23
1911.T,1328.0,2026-07-23
2349.T,2511.0,2026-07-23
9827.T,625.0,2026-07-23
7813.T,835.0,2026-07-23
3948.T,1154.0,2026-07-23
6763.T,2942.0,2026-07-23
4769.T,1110.0,2026-07-23
7723.T,3035.0,2026-07-23
7417.T,1877.0,2026-07-23
4619.T,2441.0,2026-07-23
6345.T,1400.0,2026-07-23
8945.T,1099.0,2026-07-23
8043.T,1297.0,2026-07-23
3636.T,4670.0,2026-07-23
6405.T,1020.0,2026-07-23
4356.T,1674.0,2026-07-23
7590.T,391.0,2026-07-23
6209.T,3985.0,2026-07-23
1810.T,1455.0,2026-07-23
9698.T,1286.0,2026-07-23
6282.T,2789.0,2026-07-23
9994.T,2082.0,2026-07-23
256A.T,2074.0,2026-07-23
6267.T,4005.0,2026-07-23
7039.T,1723.0,2026-07-23
8006.T,1676.0,2026-07-23
7749.T,2805.0,2026-07-23
3571.T,714.0,2026-07-23
3670.T,1741.0,2026-07-23
7067.T,1006.0,2026-07-23
4069.T,691.0,2026-07-23
3913.T,1003.0,2026-07-23
7800.T,941.0,2026-07-23
7459.T,2854.0,2026-07-23
1514.T,600.0,2026-07-23
2831.T,3620.0,2026-07-23
7112.T,700.0,2026-07-23
3848.T,828.0,2026-07-23
4997.T,1037.0,2026-07-23
6156.T,1782.0,2026-07-23
1997.T,4015.0,2026-07-23
4883.T,34.0,2026-07-23
6157.T,956.0,2026-07-23
6445.T,1330.0,2026-07-23
5186.T,6470.0,2026-07-23
6926.T,187.0,2026-07-23
5122.T,5520.0,2026-07-23
7305.T,2655.0,2026-07-23
6246.T,1888.0,2026-07-23
7087.T,1350.0,2026-07-23
9991.T,1638.0,2026-07-23
3159.T,363.0,2026-07-23
1960.T,1470.0,2026-07-23
3627.T,268.0,2026-07-23
3482.T,2758.0,2026-07-23
2153.T,1735.0,2026-07-23
2908.T,1552.0,2026-07-23
3529.T,1081.0,2026-07-23
9441.T,2736.0,2026-07-23
4719.T,3355.0,2026-07-23
6291.T,1326.0,2026-07-23
9622.T,1433.0,2026-07-23
9341.T,627.0,2026-07-23
9780.T,932.0,2026-07-23
6103.T,4940.0,2026-07-23
6863.T,2803.0,2026-07-23
5939.T,4910.0,2026-07-23
7525.T,3595.0,2026-07-23
4247.T,1348.0,2026-07-23
6286.T,1370.0,2026-07-23
8219.T,721.0,2026-07-23
1762.T,3775.0,2026-07-23
3559.T,401.0,2026-07-23
3355.T,1656.0,2026-07-23
4270.T,1780.0,2026-07-23
6898.T,3650.0,2026-07-23
5619.T,833.0,2026-07-23
6230.T,2302.0,2026-07-23
7931.T,3505.0,2026-07-23
3825.T,201.0,2026-07-23
3665.T,408.0,2026-07-23
198A.T,149.0,2026-07-23
4287.T,467.0,2026-07-23
5982.T,3920.0,2026-07-23
7482.T,1392.0,2026-07-23
6998.T,1926.0,2026-07-23
8154.T,4285.0,2026-07-23
1835.T,4110.0,2026-07-23
7294.T,891.0,2026-07-23
1828.T,2351.0,2026-07-23
8018.T,817.0,2026-07-23
6364.T,1974.0,2026-07-23
4265.T,333.0,2026-07-23
9476.T,1050.0,2026-07-23
1914.T,695.0,2026-07-23
3302.T,3295.0,2026-07-23
7477.T,1703.0,2026-07-23
7713.T,1998.0,2026-07-23
8085.T,4225.0,2026-07-23
244A.T,1138.0,2026-07-23
6309.T,1900.0,2026-07-23
4978.T,128.0,2026-07-23
2185.T,1899.0,2026-07-23
5943.T,2330.0,2026-07-23
4540.T,3822.0,2026-07-23
3698.T,1170.0,2026-07-23
5142.T,1266.0,2026-07-23
3421.T,1756.0,2026-07-23
192A.T,1208.0,2026-07-23
4434.T,1900.0,2026-07-23
7433.T,4550.0,2026-07-23
6322.T,1605.0,2026-07-23
5576.T,2947.0,2026-07-23
4471.T,4980.0,2026-07-23
6125.T,5220.0,2026-07-23
4767.T,336.0,2026-07-23
7807.T,873.0,2026-07-23
6912.T,1920.0,2026-07-23
5237.T,1275.0,2026-07-23
9413.T,3470.0,2026-07-23
9344.T,930.0,2026-07-23
4394.T,553.0,2026-07-23
6592.T,1614.5,2026-07-23
8029.T,2663.0,2026-07-23
7769.T,3855.0,2026-07-23
6493.T,482.0,2026-07-23
8708.T,1648.0,2026-07-23
7860.T,1266.0,2026-07-23
7079.T,2633.0,2026-07-23
2792.T,1417.0,2026-07-23
4376.T,159.0,2026-07-23
4524.T,2191.0,2026-07-22
4752.T,1545.0,2026-07-23
3940.T,118.0,2026-07-23
1976.T,1922.0,2026-07-23
4112.T,2095.0,2026-07-23
6742.T,923.0,2026-07-23
4372.T,1283.0,2026-07-23
3768.T,558.0,2026-07-23
6239.T,1315.0,2026-07-23
