コード,純利益,純資産
3911,1086086000.0,6876145000.0
2408,335805000.0,6022082000.0
4388,-18039000.0,2357241000.0
6626,3113136000.0,23224523000.0
7140,128341000.0,1226149000.0
3143,915103000.0,5123057000.0
7878,110359000.0,1547055000.0
4992,4452000000.0,52899000000.0
5131,,1657768000.0
7046,136557000.0,2209042000.0
6637,4451526000.0,51432263000.0
5967,787047000.0,11298788000.0
6384,561931000.0,11590244000.0
6505,2128000000.0,27383000000.0
4620,,40894922000.0
3622,-33753000.0,2641730000.0
5983,699171000.0,19236025000.0
4512,64440000.0,11610350000.0
1799,5242713000.0,71657142000.0
8747,1915116000.0,13800128000.0
7501,-128865000.0,4366128000.0
9563,22550000.0,1677906000.0
5527,1082336000.0,8390991000.0
7837,-530768000.0,2396821000.0
6676,,45038000000.0
7916,70563000.0,17573360000.0
3416,92657000.0,1205888000.0
4351,71270000.0,3369759000.0
2819,,34214000000.0
6161,1181838000.0,10378958000.0
8023,,12665539000.0
4994,1690889000.0,25157658000.0
6599,313410000.0,4786041000.0
4728,250235000.0,6122695000.0
7213,2255463000.0,10100344000.0
6580,485040000.0,3120160000.0
3352,343880000.0,6197387000.0
3266,327000000.0,3304000000.0
3079,410119000.0,9127765000.0
8226,661261000.0,5358129000.0
8127,143178000.0,17314440000.0
8946,113088000.0,2349097000.0
7299,1546794000.0,30444157000.0
3299,6659000000.0,35801000000.0
8066,,167172000000.0
3550,151543000.0,2586734000.0
3646,57923000.0,1649542000.0
3375,297019000.0,2933658000.0
7940,520797000.0,16618164000.0
4736,417166000.0,3388769000.0
5240,-336159000.0,1224198000.0
3799,1031747000.0,7569625000.0
7634,1463492000.0,18429592000.0
3800,716887000.0,11971981000.0
6864,450649000.0,12563355000.0
6033,1130351000.0,5874850000.0
6552,-235822000.0,2675486000.0
4094,,46478869000.0
3023,2079000000.0,21861000000.0
2479,228153000.0,1418954000.0
6069,600742000.0,4363474000.0
7849,1377253000.0,10772952000.0
3306,101364000.0,2493667000.0
4076,427349000.0,3959471000.0
6248,319468000.0,2919000000.0
6246,,19631591000.0
3760,246488000.0,6221635000.0
4893,-793536000.0,3931940000.0
8077,904875000.0,14290656000.0
2883,-574629000.0,8794337000.0
2806,553000000.0,22502000000.0
5184,5514000000.0,60357000000.0
9330,-63649000.0,901809000.0
9193,2044245000.0,23756377000.0
3772,1102812000.0,19398994000.0
6489,3077000000.0,29918000000.0
4616,72318000.0,3334763000.0
6769,-334330000.0,8823588000.0
9753,1326531000.0,10059428000.0
9799,1189246000.0,11684137000.0
7938,700000000.0,12745000000.0
9986,616598000.0,12876729000.0
2411,358000000.0,4202000000.0
6664,-226025000.0,5169710000.0
4880,10659000.0,6016824000.0
8118,,22474000000.0
7425,831658000.0,10096521000.0
3267,398077000.0,3344511000.0
7112,34847000.0,4042438000.0
4769,485609000.0,6428477000.0
3611,2600000000.0,37556000000.0
3948,151742000.0,9371590000.0
9827,523018000.0,8122417000.0
7804,491324000.0,3810285000.0
7800,194503000.0,2141412000.0
8006,,38883000000.0
7813,,3194896000.0
2349,,21529507000.0
7749,,45156021000.0
6901,247000000.0,12576000000.0
8945,,7908181000.0
1810,2726000000.0,50616000000.0
4619,,57457000000.0
4356,914874000.0,6252518000.0
1997,796697000.0,7554227000.0
7417,,25661000000.0
6267,,6876716000.0
3571,406794000.0,14826923000.0
9698,696000000.0,7332000000.0
6405,1462998000.0,15929161000.0
3670,171821000.0,2119477000.0
7039,536407000.0,4692986000.0
3680,-1787297000.0,4033743000.0
