コード,前日終値,配当,配当利回り(%),forwardEPS,予想PER,目標株価
8014,4075.0,172.0,4.2,,,
6870,2392.0,78.0,3.19,,,
6897,398.0,13.0,3.27,,,
4620,1038.0,22.0,2.15,,,
9466,225.0,10.0,4.44,,,
4934,621.0,0.0,0.0,10.3,60.67961,640.0
4623,1700.0,60.0,3.53,,,
3826,456.0,11.0,2.44,,,
4388,370.0,4.0,1.07,,,
2408,893.0,37.0,4.18,,,
3839,620.0,10.0,1.61,,,
1795,4810.0,110.0,2.29,,,
4095,1518.0,50.0,3.35,,,
7351,478.0,10.0,1.99,36.0,13.972222,
6063,910.0,9.0,99.0,,,
3903,295.0,0.0,0.0,50.6,5.7312255,
6626,2145.0,103.0,4.63,273.8,8.12637,
3071,101.0,3.0,2.94,,,
5357,1714.0,90.0,5.17,145.6,11.9574175,
6794,2849.0,120.0,4.21,114.83,24.828007,2850.0
4992,1765.0,54.0,3.03,151.4,11.783356,
5695,2573.0,100.0,3.7,,,
8137,3800.0,130.0,3.38,,,
3911,172.0,0.0,0.0,,,
4512,280.0,7.0,2.51,,,
5410,2700.0,100.0,3.64,,,
9404,2842.0,45.0,1.58,149.6,18.980614,3960.0
9990,714.0,35.0,4.86,,,
3143,640.0,22.0,3.38,214.3,3.0377975,
1799,3250.0,160.0,4.89,189.4,17.291447,
2330,79.0,0.0,0.0,,,
5967,455.0,9.0,1.98,,,
6637,3335.0,56.0,1.68,245.6,13.599348,6500.0
6384,1750.0,140.0,7.78,,,
3622,510.0,7.0,1.38,,,
6517,3545.0,120.0,3.36,276.1,12.930098,
6505,2180.0,75.0,3.42,122.0,18.0,
9563,318.0,0.0,0.0,,,
2819,2404.0,50.0,2.09,193.5,12.335917,
6905,1518.0,55.0,3.51,98.19,15.938486,1300.0
8052,2690.0,120.0,4.45,,,
5983,13100.0,330.0,2.51,,,
5527,615.0,25.0,4.09,,,
8747,2267.0,420.0,18.61,,,
4351,975.0,10.0,1.02,,,
7140,825.0,0.0,0.0,126.0,6.7063494,
7046,1330.0,10.0,75.0,37.6,35.37234,
7600,807.0,17.0,2.11,60.8,13.223684,
6676,2273.0,60.0,2.58,107.8,21.558441,2450.0
6580,757.0,33.0,4.41,154.4,4.8445597,
7916,1869.0,50.0,2.68,,,
1780,1366.0,38.0,2.75,,,
3352,1680.0,70.0,4.18,,,
7965,1471.0,46.0,3.19,74.7,19.290497,1850.0
7878,880.0,30.0,3.34,,,
6599,3405.0,116.0,3.3,,,
4994,2200.0,70.0,3.17,226.7,9.744155,
5131,124.0,0.0,0.0,,,
7837,300.0,0.0,0.0,,,
8023,1007.0,38.0,3.74,,,
3416,829.0,45.0,5.36,,,
4728,635.0,25.0,3.92,,,
7782,439.0,16.0,3.49,13.8,33.188404,
7213,586.0,26.0,4.45,58.5,9.982906,
8127,597.0,14.0,2.35,,,
7299,1814.0,54.0,2.97,,,
8158,1089.0,44.0,4.06,,,
3079,995.0,50.0,5.05,,,
6161,1025.0,31.0,3.01,110.92,9.294988,
8999,519.0,64.0,12.43,,,
7466,1238.0,42.0,3.36,,,
8066,2478.0,92.0,3.71,,,
8226,408.0,7.0,1.57,,,
3299,1741.0,130.0,7.44,196.1,8.90872,
5957,795.0,24.0,3.05,75.9,10.382081,900.0
3550,221.0,5.0,2.26,101.0,2.1881187,
4725,1788.0,100.0,5.56,,,
9739,2569.0,130.0,5.12,156.05,16.264017,
7989,2441.0,140.0,5.7,133.6,18.375748,
6552,187.0,0.0,0.0,5.7,33.508774,
3646,323.0,8.0,2.47,,,
3375,1747.0,75.0,4.29,,,
7940,1051.0,30.0,2.79,,,
3266,79.0,1.0,1.22,,,
4736,573.0,10.0,1.59,,,
8946,79.0,0.0,0.0,,,
8059,3045.0,126.0,4.04,242.8,12.829489,
6664,270.0,0.0,0.0,,,
7634,4845.0,90.0,1.86,,,
3800,1950.0,76.0,3.89,,,
9193,946.0,20.0,2.14,,,
5911,2836.0,130.0,4.62,323.83,8.686657,3010.0
7296,3385.0,160.0,4.6,276.52,12.584986,3610.0
5240,136.0,0.0,0.0,6.6,21.212122,
6923,3540.0,112.0,3.15,252.92,14.040012,3416.0
3023,1760.0,80.0,4.56,,,
4094,2040.0,90.0,4.39,,,
3799,993.0,40.0,4.01,,,
3267,671.0,15.0,2.3,91.5,7.114754,
4076,1646.0,55.0,3.34,,,
9409,3040.0,100.0,3.19,177.04,17.707863,3693.3333
2479,238.0,20.0,8.44,,,
7425,2353.0,80.0,3.27,,,
6741,1601.0,56.0,3.53,88.1,18.024971,2200.0
3760,603.0,10.0,1.67,,,
7849,3480.0,130.0,3.73,507.9,6.861587,
6247,1417.0,56.0,4.0,51.05,27.443684,
3306,609.0,4.0,66.0,,,
4893,137.0,0.0,0.0,-29.0,-4.6551723,440.0
5184,4175.0,190.0,4.56,369.3,11.278094,
8077,207.0,6.0,2.88,,,
9799,949.0,34.0,3.61,,,
8011,3710.0,97.0,2.6,,,
2883,1984.0,60.0,3.02,,,
9330,850.0,0.0,0.0,,,
6844,3420.0,100.0,2.79,179.35,19.96097,4200.0
2806,1938.0,40.0,2.04,,,
7501,1640.0,12.0,66.0,,,
6069,617.0,36.0,5.72,112.6,5.586146,
6248,1690.0,60.0,3.51,,,
3772,1068.0,40.0,3.75,131.1,8.146453,
6489,1721.0,48.0,2.79,61.6,27.905846,
6033,1385.0,68.0,4.77,,,
2411,452.0,26.0,5.75,,,
8707,3845.0,225.0,5.81,,,
7938,2090.0,150.0,7.18,,,
6769,1322.0,15.0,1.22,18.8,65.47873,
4880,347.0,5.0,1.44,18.05,19.27978,
4616,1805.0,45.0,2.49,,,
6809,1546.0,90.0,5.8,70.7,21.95191,
1964,4335.0,180.0,4.19,326.9,13.15387,
7447,1699.0,60.0,3.59,95.3,17.513117,
7804,2199.0,87.0,3.97,167.7,13.07096,
7962,792.0,14.0,1.77,,,
9986,2500.0,100.0,4.02,,,
5302,4760.0,200.0,4.22,452.2,10.482087,5000.0
9753,1241.0,100.0,8.01,,,
8118,1121.0,18.0,1.6,,,
6864,1800.0,72.0,3.52,,,
7483,2936.0,120.0,4.06,173.7,17.029362,3800.0
3611,2372.0,230.0,9.77,,,
1911,1300.5,50.0,3.83,626.28,2.0845308,1767.0
9827,608.0,36.0,5.92,,,
2349,2475.0,30.0,1.21,,,
6763,2964.0,130.0,4.31,,,
3948,1160.0,50.0,4.32,,,
7813,870.0,24.0,2.63,103.2,8.827519,
4769,1061.0,40.0,3.8,,,
7723,2911.0,120.0,4.17,250.7,11.487834,
6345,1368.0,65.0,4.65,86.08,16.240705,1300.0
7417,1499.0,65.0,4.36,,,
4619,2348.0,150.0,6.35,145.4,16.258598,
8945,1140.0,42.0,3.72,,,
8043,1170.0,50.0,4.26,,,
3636,4535.0,170.0,3.75,387.5,11.690323,
4356,1545.0,40.0,2.61,124.3,12.308929,
6405,1029.0,35.0,3.41,127.1,8.072384,
6901,1295.0,32.0,2.47,,,
6209,3810.0,210.0,5.43,,,
1810,1354.0,70.0,5.19,,,
7590,391.0,5.0,1.3,24.7,15.62753,
9698,1199.0,111.0,9.3,,,
6282,2561.0,95.0,3.7,,,
9994,2160.0,72.0,3.38,,,
6267,3750.0,120.0,3.16,,,
