コードA,銘柄A,業種A,コードB,銘柄B,業種B,相関
8898.T,センチュリー２１・ジャパン,不動産業,9950.T,ハチバン,小売業,0.784
7872.T,エステールホールディングス,その他製品,9849.T,共同紙販ホールディングス,卸売業,0.783
4365.T,松本油脂製薬,化学,7872.T,エステールホールディングス,その他製品,0.783
2883.T,大冷,食料品,9986.T,蔵王産業,卸売業,0.783
3140.T,ＢＲＵＮＯ,卸売業,9656.T,グリーンランドリゾート,サービス業,0.783
9849.T,共同紙販ホールディングス,卸売業,3068.T,ＷＤＩ,小売業,0.783
2186.T,ソーバル,サービス業,9846.T,天満屋ストア,小売業,0.782
9950.T,ハチバン,小売業,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,0.782
2883.T,大冷,食料品,3190.T,ホットマン,小売業,0.782
2883.T,大冷,食料品,7621.T,うかい,小売業,0.782
6082.T,ライドオンエクスプレスホールディングス,サービス業,7514.T,ヒマラヤ,小売業,0.782
7872.T,エステールホールディングス,その他製品,9656.T,グリーンランドリゾート,サービス業,0.782
2883.T,大冷,食料品,7514.T,ヒマラヤ,小売業,0.782
8898.T,センチュリー２１・ジャパン,不動産業,2904.T,一正蒲鉾,食料品,0.782
2169.T,ＣＤＳ,サービス業,9849.T,共同紙販ホールディングス,卸売業,0.782
2818.T,ピエトロ,食料品,7604.T,梅の花グループ,小売業,0.781
2186.T,ソーバル,サービス業,9849.T,共同紙販ホールディングス,卸売業,0.781
7938.T,リーガルコーポレーション,その他製品,9950.T,ハチバン,小売業,0.781
3800.T,ユニリタ,情報・通信業,9846.T,天満屋ストア,小売業,0.781
4365.T,松本油脂製薬,化学,9993.T,ヤマザワ,小売業,0.781
7562.T,安楽亭,小売業,9656.T,グリーンランドリゾート,サービス業,0.781
7636.T,ハンズマン,小売業,2816.T,ダイショー,食料品,0.781
7514.T,ヒマラヤ,小売業,9849.T,共同紙販ホールディングス,卸売業,0.78
3800.T,ユニリタ,情報・通信業,6082.T,ライドオンエクスプレスホールディングス,サービス業,0.78
7938.T,リーガルコーポレーション,その他製品,2818.T,ピエトロ,食料品,0.78
2169.T,ＣＤＳ,サービス業,7562.T,安楽亭,小売業,0.78
9986.T,蔵王産業,卸売業,9846.T,天満屋ストア,小売業,0.78
2911.T,旭松食品,食料品,2798.T,ワイズテーブルコーポレーション,小売業,0.78
9849.T,共同紙販ホールディングス,卸売業,2683.T,魚喜,小売業,0.78
8898.T,センチュリー２１・ジャパン,不動産業,2683.T,魚喜,小売業,0.779
2911.T,旭松食品,食料品,3068.T,ＷＤＩ,小売業,0.779
3800.T,ユニリタ,情報・通信業,3172.T,ティーライフ,小売業,0.779
2226.T,湖池屋,食料品,9656.T,グリーンランドリゾート,サービス業,0.779
2883.T,大冷,食料品,3172.T,ティーライフ,小売業,0.779
9849.T,共同紙販ホールディングス,卸売業,9661.T,歌舞伎座,サービス業,0.779
4623.T,アサヒペン,化学,9017.T,新潟交通,陸運業,0.779
7938.T,リーガルコーポレーション,その他製品,2169.T,ＣＤＳ,サービス業,0.778
9661.T,歌舞伎座,サービス業,2747.T,北雄ラッキー,小売業,0.778
6082.T,ライドオンエクスプレスホールディングス,サービス業,3068.T,ＷＤＩ,小売業,0.778
4365.T,松本油脂製薬,化学,3140.T,ＢＲＵＮＯ,卸売業,0.777
9636.T,きんえい,サービス業,9017.T,新潟交通,陸運業,0.777
2911.T,旭松食品,食料品,6082.T,ライドオンエクスプレスホールディングス,サービス業,0.777
3800.T,ユニリタ,情報・通信業,2883.T,大冷,食料品,0.777
6087.T,アビスト,サービス業,2818.T,ピエトロ,食料品,0.777
6082.T,ライドオンエクスプレスホールディングス,サービス業,8898.T,センチュリー２１・ジャパン,不動産業,0.777
7872.T,エステールホールディングス,その他製品,7562.T,安楽亭,小売業,0.777
2186.T,ソーバル,サービス業,7562.T,安楽亭,小売業,0.776
2911.T,旭松食品,食料品,9846.T,天満屋ストア,小売業,0.775
3065.T,ライフフーズ,小売業,2877.T,日東ベスト,食料品,0.775
4623.T,アサヒペン,化学,9661.T,歌舞伎座,サービス業,0.775
2911.T,旭松食品,食料品,9017.T,新潟交通,陸運業,0.775
2883.T,大冷,食料品,9636.T,きんえい,サービス業,0.774
4524.T,森下仁丹,医薬品,2818.T,ピエトロ,食料品,0.774
7872.T,エステールホールディングス,その他製品,3065.T,ライフフーズ,小売業,0.774
3800.T,ユニリタ,情報・通信業,2877.T,日東ベスト,食料品,0.774
4623.T,アサヒペン,化学,2883.T,大冷,食料品,0.774
4623.T,アサヒペン,化学,8898.T,センチュリー２１・ジャパン,不動産業,0.774
9661.T,歌舞伎座,サービス業,2789.T,カルラ,小売業,0.773
9986.T,蔵王産業,卸売業,9636.T,きんえい,サービス業,0.773
2883.T,大冷,食料品,2798.T,ワイズテーブルコーポレーション,小売業,0.773
2816.T,ダイショー,食料品,2747.T,北雄ラッキー,小売業,0.772
3800.T,ユニリタ,情報・通信業,2798.T,ワイズテーブルコーポレーション,小売業,0.772
9950.T,ハチバン,小売業,9017.T,新潟交通,陸運業,0.772
2818.T,ピエトロ,食料品,9993.T,ヤマザワ,小売業,0.772
9986.T,蔵王産業,卸売業,9656.T,グリーンランドリゾート,サービス業,0.771
3329.T,東和フードサービス,小売業,2818.T,ピエトロ,食料品,0.771
6082.T,ライドオンエクスプレスホールディングス,サービス業,9993.T,ヤマザワ,小売業,0.771
4623.T,アサヒペン,化学,7938.T,リーガルコーポレーション,その他製品,0.771
7872.T,エステールホールディングス,その他製品,3059.T,ヒラキ,小売業,0.771
2798.T,ワイズテーブルコーポレーション,小売業,9017.T,新潟交通,陸運業,0.771
4248.T,竹本容器,化学,2816.T,ダイショー,食料品,0.77
