コード,銘柄名,業種33,規模,新業種,method
2449,プラップジャパン,サービス業,-,,
6358,酒井重工業,機械,TOPIX Small 2,,
5958,三洋工業,金属製品,-,金属製品・金属加工,rule
3597,自重堂,繊維製品,-,繊維・紙パルプ,rule
8093,極東貿易,卸売業,TOPIX Small 2,,
5388,クニミネ工業,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
4548,生化学工業,医薬品,TOPIX Small 2,医薬品・バイオ,rule
3388,明治電機工業,卸売業,TOPIX Small 2,,
7859,アルメディオ,その他製品,-,,
6485,前澤給装工業,機械,TOPIX Small 2,,
8123,川辺,卸売業,-,,
5304,ＳＥＣカーボン,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
8935,ＦＪネクストホールディングス,不動産業,TOPIX Small 2,,
6419,マースグループホールディングス,機械,TOPIX Small 1,,
9425,ＲｅＹｕｕ　Ｊａｐａｎ,情報・通信業,-,,
7896,セブン工業,その他製品,-,,
5368,日本インシュレーション,ガラス・土石製品,-,ガラス・セラミックス・ゴム,rule
6619,ダブル・スコープ,電気機器,TOPIX Small 2,,
6482,ＹＵＳＨＩＮ,機械,TOPIX Small 2,,
7820,ニホンフラッシュ,その他製品,TOPIX Small 2,,
1905,テノックス,建設業,-,,
3958,笹徳印刷,パルプ・紙,-,繊維・紙パルプ,rule
6919,ケル,電気機器,-,,
2999,ホームポジション,不動産業,-,,
7565,萬世電機,卸売業,-,,
2700,木徳神糧,卸売業,-,,
8150,三信電気,卸売業,TOPIX Small 2,,
3176,三洋貿易,卸売業,TOPIX Small 2,,
7677,ヤシマキザイ,卸売業,-,,
8084,ＲＹＯＤＥＮ,卸売業,TOPIX Small 2,,
8844,コスモスイニシア,不動産業,-,,
4119,日本ピグメントホールディングス,化学,-,,
7602,レダックス,卸売業,-,,
7551,ウェッズ,輸送用機器,-,自動車・輸送用機器,rule
3321,ミタチ産業,卸売業,-,,
6165,パンチ工業,機械,-,,
9820,エムティジェネックス,不動産業,-,,
3513,イチカワ,繊維製品,-,繊維・紙パルプ,rule
4308,Ｊストリーム,情報・通信業,-,,
6149,小田原エンジニアリング,機械,-,,
7681,レオクラン,卸売業,-,,
1768,ソネック,建設業,-,,
7925,前澤化成工業,化学,TOPIX Small 2,,
6418,日本金銭機械,機械,TOPIX Small 2,,
7265,エイケン工業,輸送用機器,-,自動車・輸送用機器,rule
6091,ウエスコホールディングス,サービス業,-,,
7235,東京ラヂエーター製造,輸送用機器,-,自動車・輸送用機器,rule
8045,横浜丸魚,卸売業,-,,
548A,システムエグゼ,情報・通信業,-,,
6118,アイダエンジニアリング,機械,TOPIX Small 1,,
6730,アクセル,電気機器,TOPIX Small 2,,
6245,ヒラノテクシード,機械,-,,
6858,小野測器,電気機器,-,,
8103,明和産業,卸売業,TOPIX Small 2,,
5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,サービス業,-,,
3577,東海染工,繊維製品,-,繊維・紙パルプ,rule
7446,東北化学薬品,卸売業,-,,
3674,オークファン,情報・通信業,-,,
4301,アミューズ,サービス業,TOPIX Small 2,,
5464,モリ工業,鉄鋼,TOPIX Small 2,鉄鋼・非鉄金属,rule
7544,スリーエフ,小売業,-,,
8700,丸八証券,証券、商品先物取引業,-,証券・保険・その他金融,rule
4628,エスケー化研,化学,-,,
9478,ＳＥホールディングス・アンド・インキュベーションズ,情報・通信業,-,,
4996,クミアイ化学工業,化学,TOPIX Small 1,,
6365,電業社機械製作所,機械,-,,
189A,Ｄ＆Ｍカンパニー,サービス業,-,,
2385,総医研ホールディングス,サービス業,-,,
9980,ＭＲＫホールディングス,小売業,-,,
5757,ＣＫサンエツ,非鉄金属,TOPIX Small 2,鉄鋼・非鉄金属,rule
6678,テクノメディカ,電気機器,TOPIX Small 2,,
6463,ＴＰＲ,機械,TOPIX Small 1,,
9760,進学会ホールディングス,サービス業,-,,
1899,福田組,建設業,TOPIX Small 2,,
3943,大石産業,パルプ・紙,-,繊維・紙パルプ,rule
1724,シンクレイヤ,建設業,-,,
2329,東北新社,情報・通信業,-,,
3580,小松マテーレ,繊維製品,TOPIX Small 2,繊維・紙パルプ,rule
6022,赤阪鐵工所,機械,-,,
6915,千代田インテグレ,電気機器,TOPIX Small 2,,
1807,佐藤渡辺,建設業,-,,
7314,小田原機器,輸送用機器,-,自動車・輸送用機器,rule
3653,モルフォ,情報・通信業,-,,
9857,英和,卸売業,-,,
2911,旭松食品,食料品,-,,
8152,ソマール,卸売業,-,,
373A,リップス,化学,-,,
8202,ラオックスホールディングス,小売業,-,,
3802,エコミック,情報・通信業,-,,
8104,クワザワホールディングス,卸売業,-,,
4925,ハーバー研究所,化学,-,,
